Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.2, Aleatorio, 0, 0.0006518363952636719
2, 0.2, Aleatorio, 0, 0.0006568431854248047
2, 0.2, Aleatorio, 0, 0.0006668567657470703
2, 0.2, Aleatorio, 0, 0.0006499290466308594
2, 0.2, Aleatorio, 0, 0.0006568431854248047
2, 0.2, Aleatorio, 0, 0.0006525516510009766
2, 0.2, Aleatorio, 0, 0.0006556510925292969
2, 0.2, Aleatorio, 0, 0.0006620883941650391
2, 0.2, Aleatorio, 0, 0.0006535053253173828
2, 0.2, Aleatorio, 0, 0.0006527900695800781
4, 0.2, Aleatorio, 3, 0.0006573200225830078
4, 0.2, Aleatorio, 3, 0.0006537437438964844
4, 0.2, Aleatorio, 3, 0.0006568431854248047
4, 0.2, Aleatorio, 3, 0.0006916522979736328
4, 0.2, Aleatorio, 3, 0.0006601810455322266
4, 0.2, Aleatorio, 3, 0.0006556510925292969
4, 0.2, Aleatorio, 3, 0.0006568431854248047
4, 0.2, Aleatorio, 3, 0.0006573200225830078
4, 0.2, Aleatorio, 3, 0.0006468296051025391
4, 0.2, Aleatorio, 3, 0.0006577968597412109
8, 0.2, Aleatorio, 9, 0.0006575584411621094
8, 0.2, Aleatorio, 8, 0.0006768703460693359
8, 0.2, Aleatorio, 9, 0.0006647109985351562
8, 0.2, Aleatorio, 11, 0.0006587505340576172
8, 0.2, Aleatorio, 8, 0.0006582736968994141
8, 0.2, Aleatorio, 11, 0.0006628036499023438
8, 0.2, Aleatorio, 8, 0.0006690025329589844
8, 0.2, Aleatorio, 10, 0.0006568431854248047
8, 0.2, Aleatorio, 9, 0.0006544589996337891
8, 0.2, Aleatorio, 11, 0.0006549358367919922
16, 0.2, Aleatorio, 15, 0.0008709430694580078
16, 0.2, Aleatorio, 11, 0.00095367431640625
16, 0.2, Aleatorio, 10, 0.0008480548858642578
16, 0.2, Aleatorio, 15, 0.0006892681121826172
16, 0.2, Aleatorio, 16, 0.0006644725799560547
16, 0.2, Aleatorio, 18, 0.0006692409515380859
16, 0.2, Aleatorio, 15, 0.0006680488586425781
16, 0.2, Aleatorio, 17, 0.0006623268127441406
16, 0.2, Aleatorio, 20, 0.000698089599609375
16, 0.2, Aleatorio, 17, 0.00067138671875
32, 0.2, Aleatorio, 19, 0.0006814002990722656
32, 0.2, Aleatorio, 17, 0.000667572021484375
32, 0.2, Aleatorio, 15, 0.0006773471832275391
32, 0.2, Aleatorio, 18, 0.000667572021484375
32, 0.2, Aleatorio, 24, 0.0006861686706542969
32, 0.2, Aleatorio, 24, 0.0007383823394775391
32, 0.2, Aleatorio, 14, 0.0006644725799560547
32, 0.2, Aleatorio, 21, 0.0006747245788574219
32, 0.2, Aleatorio, 15, 0.0006654262542724609
32, 0.2, Aleatorio, 17, 0.0006587505340576172
64, 0.2, Aleatorio, 12, 0.0006518363952636719
64, 0.2, Aleatorio, 22, 0.00066375732421875
64, 0.2, Aleatorio, 21, 0.000659942626953125
64, 0.2, Aleatorio, 18, 0.0006616115570068359
64, 0.2, Aleatorio, 22, 0.0006761550903320312
64, 0.2, Aleatorio, 11, 0.0006837844848632812
64, 0.2, Aleatorio, 10, 0.0006737709045410156
64, 0.2, Aleatorio, 25, 0.00067901611328125
64, 0.2, Aleatorio, 20, 0.0006704330444335938
64, 0.2, Aleatorio, 19, 0.0006721019744873047
128, 0.2, Aleatorio, 15, 0.0006666183471679688
128, 0.2, Aleatorio, 25, 0.00066375732421875
128, 0.2, Aleatorio, 19, 0.0006716251373291016
128, 0.2, Aleatorio, 24, 0.0006678104400634766
128, 0.2, Aleatorio, 15, 0.0006654262542724609
128, 0.2, Aleatorio, 17, 0.0006623268127441406
128, 0.2, Aleatorio, 22, 0.0006656646728515625
128, 0.2, Aleatorio, 18, 0.0006558895111083984
128, 0.2, Aleatorio, 33, 0.0006561279296875
128, 0.2, Aleatorio, 11, 0.0007061958312988281
