Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.2, Reflexivo, 0, 0.0008008480072021484
2, 0.2, Reflexivo, 0, 0.0007772445678710938
2, 0.2, Reflexivo, 0, 0.0007774829864501953
2, 0.2, Reflexivo, 0, 0.0007748603820800781
2, 0.2, Reflexivo, 0, 0.0007684230804443359
2, 0.2, Reflexivo, 0, 0.0008034706115722656
2, 0.2, Reflexivo, 0, 0.0007731914520263672
2, 0.2, Reflexivo, 0, 0.0007715225219726562
2, 0.2, Reflexivo, 0, 0.0007939338684082031
2, 0.2, Reflexivo, 0, 0.0007755756378173828
4, 0.2, Reflexivo, 3, 0.0007724761962890625
4, 0.2, Reflexivo, 3, 0.0007746219635009766
4, 0.2, Reflexivo, 3, 0.0007808208465576172
4, 0.2, Reflexivo, 3, 0.0007741451263427734
4, 0.2, Reflexivo, 3, 0.0007770061492919922
4, 0.2, Reflexivo, 3, 0.0007736682891845703
4, 0.2, Reflexivo, 3, 0.0007898807525634766
4, 0.2, Reflexivo, 3, 0.0007755756378173828
4, 0.2, Reflexivo, 3, 0.0007750988006591797
4, 0.2, Reflexivo, 3, 0.0007882118225097656
8, 0.2, Reflexivo, 12, 0.0007812976837158203
8, 0.2, Reflexivo, 12, 0.0008165836334228516
8, 0.2, Reflexivo, 12, 0.0007779598236083984
8, 0.2, Reflexivo, 12, 0.0007789134979248047
8, 0.2, Reflexivo, 12, 0.0008080005645751953
8, 0.2, Reflexivo, 12, 0.0007827281951904297
8, 0.2, Reflexivo, 12, 0.0007753372192382812
8, 0.2, Reflexivo, 12, 0.0007736682891845703
8, 0.2, Reflexivo, 12, 0.0007762908935546875
8, 0.2, Reflexivo, 12, 0.0007872581481933594
16, 0.2, Reflexivo, 32, 0.0007693767547607422
16, 0.2, Reflexivo, 36, 0.0007994174957275391
16, 0.2, Reflexivo, 37, 0.0007891654968261719
16, 0.2, Reflexivo, 32, 0.0007789134979248047
16, 0.2, Reflexivo, 44, 0.0007801055908203125
16, 0.2, Reflexivo, 41, 0.0007774829864501953
16, 0.2, Reflexivo, 36, 0.0007915496826171875
16, 0.2, Reflexivo, 33, 0.0007817745208740234
16, 0.2, Reflexivo, 31, 0.0007798671722412109
16, 0.2, Reflexivo, 37, 0.0007843971252441406
32, 0.2, Reflexivo, 34, 0.0007798671722412109
32, 0.2, Reflexivo, 48, 0.0007808208465576172
32, 0.2, Reflexivo, 38, 0.0007758140563964844
32, 0.2, Reflexivo, 52, 0.0007770061492919922
32, 0.2, Reflexivo, 49, 0.0008180141448974609
32, 0.2, Reflexivo, 54, 0.0007765293121337891
32, 0.2, Reflexivo, 76, 0.0007910728454589844
32, 0.2, Reflexivo, 61, 0.0007700920104980469
32, 0.2, Reflexivo, 75, 0.0007870197296142578
32, 0.2, Reflexivo, 55, 0.0007719993591308594
64, 0.2, Reflexivo, 54, 0.0007753372192382812
64, 0.2, Reflexivo, 79, 0.0007612705230712891
64, 0.2, Reflexivo, 63, 0.0007684230804443359
64, 0.2, Reflexivo, 61, 0.0008885860443115234
64, 0.2, Reflexivo, 42, 0.0007700920104980469
64, 0.2, Reflexivo, 70, 0.0007605552673339844
64, 0.2, Reflexivo, 76, 0.0007660388946533203
64, 0.2, Reflexivo, 69, 0.0007653236389160156
64, 0.2, Reflexivo, 93, 0.0007603168487548828
64, 0.2, Reflexivo, 43, 0.0007796287536621094
128, 0.2, Reflexivo, 59, 0.0007774829864501953
128, 0.2, Reflexivo, 71, 0.0007722377777099609
128, 0.2, Reflexivo, 53, 0.0007829666137695312
128, 0.2, Reflexivo, 64, 0.0007722377777099609
128, 0.2, Reflexivo, 68, 0.0007703304290771484
128, 0.2, Reflexivo, 48, 0.0007750988006591797
128, 0.2, Reflexivo, 63, 0.0007698535919189453
128, 0.2, Reflexivo, 57, 0.0007700920104980469
128, 0.2, Reflexivo, 65, 0.0008373260498046875
128, 0.2, Reflexivo, 59, 0.0007727146148681641
