Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.8, Reflexivo, 3, 0.0008018016815185547
2, 0.8, Reflexivo, 3, 0.0007684230804443359
2, 0.8, Reflexivo, 3, 0.0008025169372558594
2, 0.8, Reflexivo, 3, 0.0008056163787841797
2, 0.8, Reflexivo, 3, 0.0007793903350830078
2, 0.8, Reflexivo, 3, 0.0008037090301513672
2, 0.8, Reflexivo, 3, 0.0007817745208740234
2, 0.8, Reflexivo, 3, 0.0007996559143066406
2, 0.8, Reflexivo, 3, 0.0008060932159423828
2, 0.8, Reflexivo, 3, 0.0008029937744140625
4, 0.8, Reflexivo, 12, 0.0008130073547363281
4, 0.8, Reflexivo, 12, 0.0008077621459960938
4, 0.8, Reflexivo, 12, 0.0009210109710693359
4, 0.8, Reflexivo, 12, 0.0014176368713378906
4, 0.8, Reflexivo, 12, 0.0010907649993896484
4, 0.8, Reflexivo, 12, 0.0009949207305908203
4, 0.8, Reflexivo, 12, 0.0008294582366943359
4, 0.8, Reflexivo, 12, 0.0007789134979248047
4, 0.8, Reflexivo, 12, 0.0007932186126708984
4, 0.8, Reflexivo, 12, 0.0008311271667480469
8, 0.8, Reflexivo, 51, 0.0007936954498291016
8, 0.8, Reflexivo, 51, 0.0007760524749755859
8, 0.8, Reflexivo, 51, 0.0007996559143066406
8, 0.8, Reflexivo, 51, 0.0007922649383544922
8, 0.8, Reflexivo, 51, 0.0007920265197753906
8, 0.8, Reflexivo, 48, 0.0008068084716796875
8, 0.8, Reflexivo, 51, 0.0007967948913574219
8, 0.8, Reflexivo, 50, 0.0007772445678710938
8, 0.8, Reflexivo, 51, 0.000804901123046875
8, 0.8, Reflexivo, 51, 0.0008282661437988281
16, 0.8, Reflexivo, 133, 0.0007634162902832031
16, 0.8, Reflexivo, 162, 0.0007860660552978516
16, 0.8, Reflexivo, 109, 0.0007774829864501953
16, 0.8, Reflexivo, 166, 0.0007288455963134766
16, 0.8, Reflexivo, 159, 0.0007541179656982422
16, 0.8, Reflexivo, 126, 0.0007593631744384766
16, 0.8, Reflexivo, 152, 0.0007617473602294922
16, 0.8, Reflexivo, 103, 0.0007727146148681641
16, 0.8, Reflexivo, 116, 0.0007696151733398438
16, 0.8, Reflexivo, 121, 0.0008149147033691406
32, 0.8, Reflexivo, 225, 0.0007796287536621094
32, 0.8, Reflexivo, 223, 0.0007476806640625
32, 0.8, Reflexivo, 239, 0.000743865966796875
32, 0.8, Reflexivo, 176, 0.0007696151733398438
32, 0.8, Reflexivo, 202, 0.0007555484771728516
32, 0.8, Reflexivo, 223, 0.0007319450378417969
32, 0.8, Reflexivo, 201, 0.0007543563842773438
32, 0.8, Reflexivo, 168, 0.0007762908935546875
32, 0.8, Reflexivo, 206, 0.0007355213165283203
32, 0.8, Reflexivo, 194, 0.0007696151733398438
64, 0.8, Reflexivo, 217, 0.0007503032684326172
64, 0.8, Reflexivo, 214, 0.0007371902465820312
64, 0.8, Reflexivo, 218, 0.0007531642913818359
64, 0.8, Reflexivo, 286, 0.0007636547088623047
64, 0.8, Reflexivo, 200, 0.000743865966796875
64, 0.8, Reflexivo, 195, 0.0007627010345458984
64, 0.8, Reflexivo, 170, 0.000762939453125
64, 0.8, Reflexivo, 247, 0.0008499622344970703
64, 0.8, Reflexivo, 174, 0.0007662773132324219
64, 0.8, Reflexivo, 274, 0.0009944438934326172
128, 0.8, Reflexivo, 114, 0.0007538795471191406
128, 0.8, Reflexivo, 234, 0.0007500648498535156
128, 0.8, Reflexivo, 230, 0.00074005126953125
128, 0.8, Reflexivo, 200, 0.0009899139404296875
128, 0.8, Reflexivo, 175, 0.0007562637329101562
128, 0.8, Reflexivo, 192, 0.0007522106170654297
128, 0.8, Reflexivo, 188, 0.000736236572265625
128, 0.8, Reflexivo, 236, 0.0013043880462646484
128, 0.8, Reflexivo, 240, 0.0013170242309570312
128, 0.8, Reflexivo, 238, 0.0007548332214355469
