Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.4, Aleatorio, 1, 0.0006558895111083984
2, 0.4, Aleatorio, 1, 0.0006999969482421875
2, 0.4, Aleatorio, 1, 0.0006661415100097656
2, 0.4, Aleatorio, 1, 0.0012040138244628906
2, 0.4, Aleatorio, 1, 0.0011887550354003906
2, 0.4, Aleatorio, 1, 0.0012211799621582031
2, 0.4, Aleatorio, 1, 0.0010726451873779297
2, 0.4, Aleatorio, 1, 0.0006608963012695312
2, 0.4, Aleatorio, 1, 0.0006558895111083984
2, 0.4, Aleatorio, 1, 0.0006563663482666016
4, 0.4, Aleatorio, 6, 0.0006577968597412109
4, 0.4, Aleatorio, 6, 0.0006997585296630859
4, 0.4, Aleatorio, 6, 0.0006580352783203125
4, 0.4, Aleatorio, 6, 0.0006504058837890625
4, 0.4, Aleatorio, 6, 0.0006468296051025391
4, 0.4, Aleatorio, 6, 0.0006597042083740234
4, 0.4, Aleatorio, 6, 0.0006470680236816406
4, 0.4, Aleatorio, 5, 0.0006585121154785156
4, 0.4, Aleatorio, 6, 0.0006575584411621094
4, 0.4, Aleatorio, 6, 0.0007004737854003906
8, 0.4, Aleatorio, 21, 0.0006604194641113281
8, 0.4, Aleatorio, 22, 0.000659942626953125
8, 0.4, Aleatorio, 20, 0.0006709098815917969
8, 0.4, Aleatorio, 17, 0.0006642341613769531
8, 0.4, Aleatorio, 22, 0.0006890296936035156
8, 0.4, Aleatorio, 22, 0.0013570785522460938
8, 0.4, Aleatorio, 14, 0.0009305477142333984
8, 0.4, Aleatorio, 21, 0.0006625652313232422
8, 0.4, Aleatorio, 19, 0.0008921623229980469
8, 0.4, Aleatorio, 22, 0.0006563663482666016
16, 0.4, Aleatorio, 42, 0.0006597042083740234
16, 0.4, Aleatorio, 33, 0.000675201416015625
16, 0.4, Aleatorio, 19, 0.0006568431854248047
16, 0.4, Aleatorio, 34, 0.0006711483001708984
16, 0.4, Aleatorio, 42, 0.0006732940673828125
16, 0.4, Aleatorio, 27, 0.0006618499755859375
16, 0.4, Aleatorio, 30, 0.0006608963012695312
16, 0.4, Aleatorio, 34, 0.0006718635559082031
16, 0.4, Aleatorio, 30, 0.0006735324859619141
16, 0.4, Aleatorio, 38, 0.0006623268127441406
32, 0.4, Aleatorio, 44, 0.0006859302520751953
32, 0.4, Aleatorio, 45, 0.0006632804870605469
32, 0.4, Aleatorio, 40, 0.0006866455078125
32, 0.4, Aleatorio, 34, 0.0008807182312011719
32, 0.4, Aleatorio, 40, 0.0006699562072753906
32, 0.4, Aleatorio, 47, 0.0006651878356933594
32, 0.4, Aleatorio, 38, 0.0006697177886962891
32, 0.4, Aleatorio, 46, 0.0006666183471679688
32, 0.4, Aleatorio, 33, 0.0006592273712158203
32, 0.4, Aleatorio, 38, 0.0006983280181884766
64, 0.4, Aleatorio, 35, 0.0006768703460693359
64, 0.4, Aleatorio, 30, 0.0007917881011962891
64, 0.4, Aleatorio, 36, 0.0006749629974365234
64, 0.4, Aleatorio, 34, 0.000690460205078125
64, 0.4, Aleatorio, 40, 0.0006690025329589844
64, 0.4, Aleatorio, 37, 0.0006783008575439453
64, 0.4, Aleatorio, 36, 0.0006654262542724609
64, 0.4, Aleatorio, 39, 0.0009026527404785156
64, 0.4, Aleatorio, 34, 0.0006716251373291016
64, 0.4, Aleatorio, 53, 0.0006730556488037109
128, 0.4, Aleatorio, 23, 0.0006642341613769531
128, 0.4, Aleatorio, 44, 0.0006976127624511719
128, 0.4, Aleatorio, 38, 0.0006585121154785156
128, 0.4, Aleatorio, 37, 0.0006868839263916016
128, 0.4, Aleatorio, 37, 0.0006663799285888672
128, 0.4, Aleatorio, 33, 0.0006566047668457031
128, 0.4, Aleatorio, 45, 0.0006573200225830078
128, 0.4, Aleatorio, 38, 0.0006680488586425781
128, 0.4, Aleatorio, 39, 0.0006582736968994141
128, 0.4, Aleatorio, 47, 0.00066375732421875
