Tamaño, Tasa de Suciedad, Agente, Medida de Desempeño, Tiempo
2, 0.1, Aleatorio, 0, 0.0006740093231201172
2, 0.1, Aleatorio, 0, 0.0006754398345947266
2, 0.1, Aleatorio, 0, 0.0006852149963378906
2, 0.1, Aleatorio, 0, 0.0007064342498779297
2, 0.1, Aleatorio, 0, 0.0007009506225585938
2, 0.1, Aleatorio, 0, 0.0006823539733886719
2, 0.1, Aleatorio, 0, 0.0006849765777587891
2, 0.1, Aleatorio, 0, 0.0006792545318603516
2, 0.1, Aleatorio, 0, 0.0006814002990722656
2, 0.1, Aleatorio, 0, 0.0007066726684570312
4, 0.1, Aleatorio, 1, 0.0006871223449707031
4, 0.1, Aleatorio, 1, 0.0006802082061767578
4, 0.1, Aleatorio, 1, 0.0006787776947021484
4, 0.1, Aleatorio, 1, 0.0006768703460693359
4, 0.1, Aleatorio, 1, 0.0006811618804931641
4, 0.1, Aleatorio, 1, 0.0006856918334960938
4, 0.1, Aleatorio, 1, 0.0006780624389648438
4, 0.1, Aleatorio, 1, 0.0006923675537109375
4, 0.1, Aleatorio, 1, 0.0006842613220214844
4, 0.1, Aleatorio, 1, 0.0006833076477050781
8, 0.1, Aleatorio, 5, 0.0006802082061767578
8, 0.1, Aleatorio, 4, 0.0006709098815917969
8, 0.1, Aleatorio, 6, 0.0006926059722900391
8, 0.1, Aleatorio, 4, 0.00067901611328125
8, 0.1, Aleatorio, 5, 0.0006704330444335938
8, 0.1, Aleatorio, 5, 0.0006670951843261719
8, 0.1, Aleatorio, 4, 0.0006735324859619141
8, 0.1, Aleatorio, 5, 0.0006911754608154297
8, 0.1, Aleatorio, 6, 0.0007219314575195312
8, 0.1, Aleatorio, 6, 0.0006699562072753906
16, 0.1, Aleatorio, 6, 0.0006844997406005859
16, 0.1, Aleatorio, 7, 0.0006923675537109375
16, 0.1, Aleatorio, 4, 0.0007536411285400391
16, 0.1, Aleatorio, 10, 0.0006809234619140625
16, 0.1, Aleatorio, 10, 0.0006730556488037109
16, 0.1, Aleatorio, 10, 0.0006749629974365234
16, 0.1, Aleatorio, 8, 0.0006685256958007812
16, 0.1, Aleatorio, 12, 0.0006802082061767578
16, 0.1, Aleatorio, 5, 0.0006799697875976562
16, 0.1, Aleatorio, 8, 0.0007102489471435547
32, 0.1, Aleatorio, 8, 0.0006673336029052734
32, 0.1, Aleatorio, 11, 0.0006794929504394531
32, 0.1, Aleatorio, 10, 0.0009217262268066406
32, 0.1, Aleatorio, 7, 0.0006620883941650391
32, 0.1, Aleatorio, 7, 0.0006532669067382812
32, 0.1, Aleatorio, 11, 0.0006508827209472656
32, 0.1, Aleatorio, 9, 0.0006918907165527344
32, 0.1, Aleatorio, 7, 0.0006594657897949219
32, 0.1, Aleatorio, 7, 0.0006895065307617188
32, 0.1, Aleatorio, 10, 0.0006570816040039062
64, 0.1, Aleatorio, 9, 0.0006632804870605469
64, 0.1, Aleatorio, 8, 0.0006597042083740234
64, 0.1, Aleatorio, 6, 0.0006520748138427734
64, 0.1, Aleatorio, 9, 0.0006508827209472656
64, 0.1, Aleatorio, 6, 0.0006518363952636719
64, 0.1, Aleatorio, 13, 0.0006604194641113281
64, 0.1, Aleatorio, 5, 0.0006515979766845703
64, 0.1, Aleatorio, 12, 0.0006551742553710938
64, 0.1, Aleatorio, 6, 0.0006587505340576172
64, 0.1, Aleatorio, 8, 0.0006582736968994141
128, 0.1, Aleatorio, 13, 0.0006656646728515625
128, 0.1, Aleatorio, 10, 0.0006649494171142578
128, 0.1, Aleatorio, 5, 0.0006623268127441406
128, 0.1, Aleatorio, 6, 0.0006666183471679688
128, 0.1, Aleatorio, 8, 0.0006759166717529297
128, 0.1, Aleatorio, 5, 0.0006623268127441406
128, 0.1, Aleatorio, 13, 0.0006585121154785156
128, 0.1, Aleatorio, 9, 0.0006644725799560547
128, 0.1, Aleatorio, 13, 0.0006628036499023438
128, 0.1, Aleatorio, 11, 0.0006625652313232422
