size, dirt_rate, Agente, Medida de Desempeño, Tiempo
2, 0.1, Reflexive, 0, 0.0007398128509521484
2, 0.1, Random, 0, 0.0006034374237060547
2, 0.1, Reflexive, 0, 0.0006871223449707031
2, 0.1, Random, 0, 0.0006029605865478516
2, 0.1, Reflexive, 0, 0.0006875991821289062
2, 0.1, Random, 0, 0.0006120204925537109
2, 0.1, Reflexive, 0, 0.0007271766662597656
2, 0.1, Random, 0, 0.0006089210510253906
2, 0.1, Reflexive, 0, 0.0007081031799316406
2, 0.1, Random, 0, 0.0006089210510253906
2, 0.1, Reflexive, 0, 0.0007042884826660156
2, 0.1, Random, 0, 0.0006053447723388672
2, 0.1, Reflexive, 0, 0.0007352828979492188
2, 0.1, Random, 0, 0.0006082057952880859
2, 0.1, Reflexive, 0, 0.0007126331329345703
2, 0.1, Random, 0, 0.0006093978881835938
2, 0.1, Reflexive, 0, 0.0006976127624511719
2, 0.1, Random, 0, 0.0006101131439208984
2, 0.1, Reflexive, 0, 0.0007722377777099609
2, 0.1, Random, 0, 0.0006103515625
2, 0.2, Reflexive, 0, 0.0006961822509765625
2, 0.2, Random, 0, 0.0006029605865478516
2, 0.2, Reflexive, 0, 0.0006983280181884766
2, 0.2, Random, 0, 0.0006082057952880859
2, 0.2, Reflexive, 0, 0.0007355213165283203
2, 0.2, Random, 0, 0.0006062984466552734
2, 0.2, Reflexive, 0, 0.0007002353668212891
2, 0.2, Random, 0, 0.0006096363067626953
2, 0.2, Reflexive, 0, 0.0006968975067138672
2, 0.2, Random, 0, 0.0006084442138671875
2, 0.2, Reflexive, 0, 0.00070953369140625
2, 0.2, Random, 0, 0.0006043910980224609
2, 0.2, Reflexive, 0, 0.0006978511810302734
2, 0.2, Random, 0, 0.0006082057952880859
2, 0.2, Reflexive, 0, 0.0006968975067138672
2, 0.2, Random, 0, 0.0006051063537597656
2, 0.2, Reflexive, 0, 0.0007092952728271484
2, 0.2, Random, 0, 0.0006091594696044922
2, 0.2, Reflexive, 0, 0.0007126331329345703
2, 0.2, Random, 0, 0.0006053447723388672
2, 0.4, Reflexive, 1, 0.0006959438323974609
2, 0.4, Random, 1, 0.000606536865234375
2, 0.4, Reflexive, 1, 0.0007269382476806641
2, 0.4, Random, 1, 0.0006072521209716797
2, 0.4, Reflexive, 1, 0.0007016658782958984
2, 0.4, Random, 1, 0.0006053447723388672
2, 0.4, Reflexive, 1, 0.0006992816925048828
2, 0.4, Random, 1, 0.0006060600280761719
2, 0.4, Reflexive, 1, 0.0007128715515136719
2, 0.4, Random, 1, 0.0006051063537597656
2, 0.4, Reflexive, 1, 0.0007038116455078125
