algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,env_1,90,90,267,0.18323564529418945,True
BFS,env_1,14,14,20,0.004889249801635742,True
BFS,env_1,82,82,127,0.3050253391265869,True
BFS,env_1,47,47,101,0.046781301498413086,True
BFS,env_1,41,41,66,0.07176089286804199,True
BFS,env_1,85,85,242,0.08511137962341309,True
BFS,env_1,81,81,224,0.11513686180114746,True
BFS,env_1,52,52,188,0.03141975402832031,True
BFS,env_1,48,48,171,0.11437630653381348,True
BFS,env_1,88,88,324,0.1855025291442871,True
BFS,env_1,63,63,114,0.0516963005065918,True
BFS,env_1,30,30,36,0.03327584266662598,True
BFS,env_1,12,12,40,0.003930568695068359,True
BFS,env_1,52,52,176,0.15024161338806152,True
BFS,env_1,72,72,85,0.15772724151611328,True
BFS,env_1,169,169,264,0.1867973804473877,True
BFS,env_1,132,132,470,0.25264430046081543,True
BFS,env_1,146,146,395,0.20270848274230957,True
BFS,env_1,28,28,77,0.0172271728515625,True
BFS,env_1,26,26,77,0.0258941650390625,True
BFS,env_1,51,51,193,0.06124162673950195,True
BFS,env_1,25,25,58,0.008417129516601562,True
BFS,env_1,159,159,248,0.2086505889892578,True
BFS,env_1,99,99,336,0.2707035541534424,True
BFS,env_1,41,41,62,0.03362083435058594,True
BFS,env_1,135,135,363,0.2040414810180664,True
BFS,env_1,30,30,45,0.03385663032531738,True
BFS,env_1,19,19,52,0.010217428207397461,True
BFS,env_1,159,159,383,0.19992876052856445,True
BFS,env_1,98,98,176,0.1715373992919922,True
DFS,env_1,190,190,551,0.005053043365478516,True
DFS,env_1,212,212,584,1.1384332180023193,True
DFS,env_1,None,None,None,0.8841769695281982,False
DFS,env_1,871,871,2347,0.6336948871612549,True
DFS,env_1,873,873,2334,0.7119367122650146,True
DFS,env_1,995,995,2818,0.19718527793884277,True
DFS,env_1,981,981,2718,0.20519042015075684,True
DFS,env_1,534,534,1508,0.9378504753112793,True
DFS,env_1,1000,1000,2811,0.1582472324371338,True
DFS,env_1,462,462,1370,0.03944253921508789,True
DFS,env_1,None,None,None,0.6769013404846191,False
DFS,env_1,996,996,2770,1.065368413925171,True
DFS,env_1,1000,1000,2780,0.6516478061676025,True
DFS,env_1,994,994,2790,0.1620502471923828,True
DFS,env_1,None,None,None,0.4715414047241211,False
DFS,env_1,None,None,None,0.4689645767211914,False
DFS,env_1,136,136,482,0.00486445426940918,True
DFS,env_1,None,None,None,0.9063234329223633,False
DFS,env_1,884,884,2433,0.7850887775421143,True
DFS,env_1,1000,1000,2779,0.2319934368133545,True
DFS,env_1,685,685,1913,0.7030787467956543,True
DFS,env_1,863,863,2318,1.129049301147461,True
DFS,env_1,None,None,None,0.6019830703735352,False
DFS,env_1,161,161,518,0.005864381790161133,True
DFS,env_1,989,989,2730,0.2516171932220459,True
DFS,env_1,None,None,None,0.7826554775238037,False
DFS,env_1,1000,1000,2747,0.6225426197052002,True
DFS,env_1,997,997,2774,0.6019952297210693,True
DFS,env_1,995,995,2685,0.22001886367797852,True
DFS,env_1,None,None,None,0.8636531829833984,False
DLS,env_1,None,None,None,1.7163898944854736,False
DLS,env_1,None,None,None,0.8086550235748291,False
DLS,env_1,None,None,None,0.8582074642181396,False
DLS,env_1,None,None,None,1.0660910606384277,False
DLS,env_1,None,None,None,1.2061192989349365,False
DLS,env_1,None,None,None,0.9220089912414551,False
DLS,env_1,None,None,None,1.395716667175293,False
DLS,env_1,None,None,None,1.3069050312042236,False
DLS,env_1,None,None,None,1.3728768825531006,False
DLS,env_1,None,None,None,0.756145715713501,False
DLS,env_1,None,None,None,1.2702891826629639,False
DLS,env_1,None,None,None,1.2506070137023926,False
DLS,env_1,None,None,None,1.1813201904296875,False
DLS,env_1,None,None,None,1.5875043869018555,False
DLS,env_1,None,None,None,0.8821249008178711,False
DLS,env_1,None,None,None,0.2997443675994873,False
DLS,env_1,None,None,None,1.0076217651367188,False
DLS,env_1,None,None,None,1.6500296592712402,False
DLS,env_1,None,None,None,0.3375508785247803,False
DLS,env_1,None,None,None,2.211085796356201,False
DLS,env_1,None,None,None,1.9555246829986572,False
DLS,env_1,None,None,None,1.5806200504302979,False
DLS,env_1,None,None,None,1.0377614498138428,False
DLS,env_1,None,None,None,1.2868585586547852,False
DLS,env_1,None,None,None,2.624159812927246,False
DLS,env_1,None,None,None,1.7749109268188477,False
DLS,env_1,None,None,None,1.548335313796997,False
DLS,env_1,None,None,None,2.630154848098755,False
DLS,env_1,None,None,None,0.8687400817871094,False
DLS,env_1,None,None,None,2.4682369232177734,False
UCSe1,env_1,90,90,267,0.5150258541107178,True
UCSe1,env_1,14,14,20,0.03892779350280762,True
UCSe1,env_1,82,82,127,0.9080562591552734,True
UCSe1,env_1,47,47,101,0.13616085052490234,True
UCSe1,env_1,41,41,66,0.4454221725463867,True
UCSe1,env_1,85,85,242,0.5461628437042236,True
UCSe1,env_1,81,81,224,0.6562752723693848,True
UCSe1,env_1,52,52,188,0.14717960357666016,True
UCSe1,env_1,48,48,171,0.5604226589202881,True
UCSe1,env_1,88,88,324,0.8657834529876709,True
UCSe1,env_1,63,63,114,0.19867181777954102,True
UCSe1,env_1,30,30,36,0.14926886558532715,True
UCSe1,env_1,12,12,40,0.010766029357910156,True
UCSe1,env_1,52,52,176,0.7553036212921143,True
UCSe1,env_1,72,72,85,0.8626594543457031,True
UCSe1,env_1,169,169,264,0.6817281246185303,True
UCSe1,env_1,132,132,470,1.054708480834961,True
UCSe1,env_1,146,146,395,1.1338748931884766,True
UCSe1,env_1,28,28,77,0.12119174003601074,True
UCSe1,env_1,26,26,77,0.12570738792419434,True
UCSe1,env_1,51,51,193,0.2743186950683594,True
UCSe1,env_1,25,25,58,0.028834819793701172,True
UCSe1,env_1,159,159,248,0.8977029323577881,True
UCSe1,env_1,99,99,336,1.2936317920684814,True
UCSe1,env_1,41,41,62,0.13627243041992188,True
UCSe1,env_1,135,135,363,1.0924789905548096,True
UCSe1,env_1,30,30,45,0.14510178565979004,True
UCSe1,env_1,19,19,52,0.036505937576293945,True
UCSe1,env_1,159,159,383,0.7259624004364014,True
UCSe1,env_1,98,98,176,0.6345639228820801,True
UCSe2,env_2,90,267,90,0.786998987197876,True
UCSe2,env_2,14,20,14,0.01014256477355957,True
UCSe2,env_2,82,127,82,1.4030728340148926,True
UCSe2,env_2,47,101,47,0.24002671241760254,True
UCSe2,env_2,41,66,41,0.3889904022216797,True
UCSe2,env_2,85,242,85,0.7717480659484863,True
UCSe2,env_2,81,224,81,0.8023276329040527,True
UCSe2,env_2,52,188,52,0.15574288368225098,True
UCSe2,env_2,48,171,48,0.9503946304321289,True
UCSe2,env_2,88,324,88,0.9598250389099121,True
UCSe2,env_2,63,114,63,0.2193748950958252,True
UCSe2,env_2,30,36,30,0.04517102241516113,True
UCSe2,env_2,12,40,12,0.06602621078491211,True
UCSe2,env_2,52,176,52,1.03346848487854,True
UCSe2,env_2,72,85,72,0.3906419277191162,True
UCSe2,env_2,169,264,169,0.7820818424224854,True
UCSe2,env_2,132,470,132,0.8599274158477783,True
UCSe2,env_2,146,395,146,1.0959501266479492,True
UCSe2,env_2,28,77,28,0.11855196952819824,True
UCSe2,env_2,26,77,26,0.42930054664611816,True
UCSe2,env_2,51,193,51,0.5745604038238525,True
UCSe2,env_2,25,58,25,0.05081677436828613,True
UCSe2,env_2,159,248,159,0.9718561172485352,True
UCSe2,env_2,99,336,99,1.2480924129486084,True
UCSe2,env_2,41,62,41,0.21267461776733398,True
UCSe2,env_2,135,363,135,0.6711146831512451,True
UCSe2,env_2,30,45,30,0.06598138809204102,True
UCSe2,env_2,19,52,19,0.05824422836303711,True
UCSe2,env_2,159,383,159,0.66636061668396,True
UCSe2,env_2,98,176,98,0.48146700859069824,True
Random,env_1,None,None,None,0.009082794189453125,False
Random,env_1,None,None,None,0.011320829391479492,False
Random,env_1,None,None,None,0.0098114013671875,False
Random,env_1,None,None,None,0.01595020294189453,False
Random,env_1,None,None,None,0.009804248809814453,False
Random,env_1,None,None,None,0.01111745834350586,False
Random,env_1,None,None,None,0.009409189224243164,False
Random,env_1,None,None,None,0.0068438053131103516,False
Random,env_1,None,None,None,0.008689165115356445,False
Random,env_1,None,None,None,0.006469249725341797,False
Random,env_1,None,None,None,0.007179975509643555,False
Random,env_1,None,None,None,0.006376743316650391,False
Random,env_1,None,None,None,0.008096456527709961,False
Random,env_1,None,None,None,0.006460428237915039,False
Random,env_1,None,None,None,0.0069048404693603516,False
Random,env_1,None,None,None,0.007425069808959961,False
Random,env_1,None,None,None,0.007163524627685547,False
Random,env_1,None,None,None,0.006598234176635742,False
Random,env_1,None,None,None,0.0076160430908203125,False
Random,env_1,None,None,None,0.00756382942199707,False
Random,env_1,None,None,None,0.007472991943359375,False
Random,env_1,None,None,None,0.0068929195404052734,False
Random,env_1,None,None,None,0.007278919219970703,False
Random,env_1,None,None,None,0.0059871673583984375,False
Random,env_1,None,None,None,0.005942821502685547,False
Random,env_1,None,None,None,0.006519317626953125,False
Random,env_1,None,None,None,0.005942344665527344,False
Random,env_1,None,None,None,0.006482124328613281,False
Random,env_1,None,None,None,0.005910158157348633,False
Random,env_1,None,None,None,0.006049394607543945,False
A*,env_1,90,None,267,0.5523006916046143,False
A*,env_1,14,None,20,0.0031998157501220703,False
A*,env_1,82,None,127,0.5328178405761719,False
A*,env_1,47,None,101,0.15365099906921387,False
A*,env_1,41,None,66,0.08131575584411621,False
A*,env_1,85,None,242,0.4393737316131592,False
A*,env_1,81,None,224,0.5683047771453857,False
A*,env_1,52,None,188,0.12911128997802734,False
A*,env_1,48,None,171,0.7557029724121094,False
A*,env_1,88,None,324,1.0718355178833008,False
A*,env_1,63,None,114,0.17160367965698242,False
A*,env_1,30,None,36,0.011448860168457031,False
A*,env_1,12,None,40,0.014243125915527344,False
A*,env_1,52,None,176,0.7818582057952881,False
A*,env_1,72,None,85,0.14762592315673828,False
A*,env_1,169,None,264,1.3875551223754883,False
A*,env_1,132,None,470,1.1399540901184082,False
A*,env_1,146,None,395,0.8934180736541748,False
A*,env_1,28,None,77,0.04522871971130371,False
A*,env_1,26,None,77,0.07733154296875,False
A*,env_1,51,None,193,0.3452003002166748,False
A*,env_1,25,None,58,0.01333761215209961,False
A*,env_1,159,None,248,1.0514607429504395,False
A*,env_1,99,None,336,1.5616204738616943,False
A*,env_1,41,None,62,0.0688636302947998,False
A*,env_1,135,None,363,1.1730997562408447,False
A*,env_1,30,None,45,0.026616811752319336,False
A*,env_1,19,None,52,0.02593374252319336,False
A*,env_1,159,None,383,1.4109537601470947,False
A*,env_1,98,None,176,0.9586129188537598,False
A*,env_2,90,267,90,0.017334699630737305,True
A*,env_2,14,20,14,0.0017368793487548828,True
A*,env_2,82,127,82,0.1441664695739746,True
A*,env_2,47,101,47,0.023405075073242188,True
A*,env_2,41,66,41,0.030321359634399414,True
A*,env_2,85,242,85,0.07589101791381836,True
A*,env_2,81,224,81,0.152634859085083,True
A*,env_2,52,188,52,0.004528522491455078,True
A*,env_2,48,171,48,0.004331111907958984,True
A*,env_2,88,324,88,0.015545368194580078,True
A*,env_2,63,114,63,0.006734609603881836,True
A*,env_2,30,36,30,0.00858926773071289,True
A*,env_2,12,40,12,0.0010211467742919922,True
